Country,GH_Gas,date,Country,Data source,GH_Gas,Unit,max_year,date,Agriculture,Energy,Industrial Processes,Land-Use Change and Forestry,Other,Solvent and Other Product Use,Total GHG emissions with LULUCF,Total GHG emissions without LULUCF,Waste
Afghanistan,Aggregate GHGs,2005-01-01,Afghanistan,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2013,2005-01-01,15.11,3.78,0.31,9.43,,,28.76,19.33,0.13
Afghanistan,Aggregate GHGs,2013-01-01,Afghanistan,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2013,2013-01-01,32.74,10.28,0.21,11.16,,,54.54,43.38,0.14
Albania,Aggregate GHGs,1990-01-01,Albania,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2009,1990-01-01,0.88,3.11,0.21,3.49,,,7.83,4.34,0.14
Albania,Aggregate GHGs,1991-01-01,Albania,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2009,1991-01-01,0.85,5.06,0.42,3.53,,,10.02,6.49,0.15
Albania,Aggregate GHGs,1992-01-01,Albania,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2009,1992-01-01,0.8,3.35,0.25,2.01,,,6.6,4.58,0.18
Albania,Aggregate GHGs,1993-01-01,Albania,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2009,1993-01-01,0.87,3.24,0.27,1.51,,,6.1,4.59,0.2
Albania,Aggregate GHGs,1994-01-01,Albania,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2009,1994-01-01,0.94,3.39,0.3,1.8,,,6.7,4.91,0.28
Albania,Aggregate GHGs,1995-01-01,Albania,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2009,1995-01-01,1.01,3.25,0.3,1.52,,,6.4,4.88,0.32
Albania,Aggregate GHGs,1996-01-01,Albania,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2009,1996-01-01,1.08,3.25,0.25,1.45,,,6.44,5.0,0.42
Albania,Aggregate GHGs,1997-01-01,Albania,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2009,1997-01-01,1.08,3.41,0.16,1.32,,,6.42,5.11,0.46
Albania,Aggregate GHGs,1998-01-01,Albania,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2009,1998-01-01,1.11,4.12,0.14,1.09,,,6.92,5.83,0.46
Albania,Aggregate GHGs,1999-01-01,Albania,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2009,1999-01-01,1.18,4.44,0.15,0.91,,,7.21,6.3,0.53
Albania,Aggregate GHGs,2000-01-01,Albania,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2009,2000-01-01,1.55,3.11,0.52,3.3,,,9.08,5.78,0.59
Albania,Aggregate GHGs,2001-01-01,Albania,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2009,2001-01-01,1.51,3.5,0.85,2.51,,,8.96,6.45,0.59
Albania,Aggregate GHGs,2002-01-01,Albania,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2009,2002-01-01,1.46,3.61,0.81,2.06,,,8.53,6.47,0.59
Albania,Aggregate GHGs,2003-01-01,Albania,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2009,2003-01-01,1.48,3.78,0.97,1.72,,,8.55,6.83,0.6
Albania,Aggregate GHGs,2004-01-01,Albania,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2009,2004-01-01,1.46,4.04,1.04,1.79,,,8.98,7.19,0.65
Albania,Aggregate GHGs,2005-01-01,Albania,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2009,2005-01-01,1.4,3.96,1.12,1.72,,,8.85,7.13,0.65
Albania,Aggregate GHGs,2006-01-01,Albania,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2009,2006-01-01,1.37,3.89,1.2,1.64,,,8.82,7.18,0.72
Albania,Aggregate GHGs,2007-01-01,Albania,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2009,2007-01-01,1.28,4.07,1.47,1.62,,,9.17,7.55,0.73
Albania,Aggregate GHGs,2008-01-01,Albania,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2009,2008-01-01,1.2,4.13,1.6,1.18,,,8.81,7.63,0.7
Albania,Aggregate GHGs,2009-01-01,Albania,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2009,2009-01-01,1.13,4.47,1.7,0.91,,,9.04,8.13,0.83
Algeria,Aggregate GHGs,1994-01-01,Algeria,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2000,1994-01-01,12.21,70.06,4.77,8.59,,,100.34,91.76,4.72
Algeria,Aggregate GHGs,2000-01-01,Algeria,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2000,2000-01-01,6.53,87.6,5.46,-7.88,,,103.14,111.02,11.43
Angola,Aggregate GHGs,2000-01-01,Angola,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2005,2000-01-01,22.69,22.64,0.21,-3.05,,,43.14,46.19,0.64
Angola,Aggregate GHGs,2005-01-01,Angola,UNFCCC_NAI,Aggregate GHGs,MtCO₂e,2005,2005-01-01,22.58,37.73,0.35,1.91,,,63.52,61.61,0.95
Annex-I Parties to the Convention,Aggregate GHGs,1990-01-01,Annex-I Parties to the Convention,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1990-01-01,1682.5,15189.3,1506.16,-1241.57,0.02,,17737.31,18978.89,600.91
Annex-I Parties to the Convention,Aggregate GHGs,1991-01-01,Annex-I Parties to the Convention,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1991-01-01,1629.73,14931.37,1417.37,-1308.76,0.02,,17277.02,18585.77,607.29
Annex-I Parties to the Convention,Aggregate GHGs,1992-01-01,Annex-I Parties to the Convention,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1992-01-01,1581.92,14446.78,1369.18,-1331.63,0.02,,16675.77,18007.4,609.5
Annex-I Parties to the Convention,Aggregate GHGs,1993-01-01,Annex-I Parties to the Convention,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1993-01-01,1557.3,14300.64,1309.81,-1320.27,0.02,,16455.75,17776.03,608.25
Annex-I Parties to the Convention,Aggregate GHGs,1994-01-01,Annex-I Parties to the Convention,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1994-01-01,1516.07,14094.56,1320.39,-1472.03,0.02,,16068.73,17540.76,609.73
Annex-I Parties to the Convention,Aggregate GHGs,1995-01-01,Annex-I Parties to the Convention,UNFCCC_AI,Aggregate GHGs,MtCO₂e,2017,1995-01-01,1500.37,14153.9,1377.7,-1531.69,0.02,,16107.49,17639.18,607.18
