quantity,mean_mass_concentration_of_ozone_in_air
units,ug/m3
Aberdeen,Blackburn,Bradford,Bournemouth,Birmingham,Brighton,Bristol,Burnley,Barnsley,Cambridge,Cardiff,Coventry,Crawley,Dundee,Derby,Doncaster,Edinburgh,Exeter,Aldershot,Blackpool,Glasgow,Gloucester,Huddersfield,Hull,Ipswich,Leicester,London,Leeds,Luton,Liverpool,Manchester,Chatham,Mansfield,Milton Keynes,Newcastle,Nottingham,Northampton,Newport,Norwich,Oxford,Peterborough,Plymouth,Portsmouth,Preston,Reading,Swansea,Sheffield,Slough,Swindon,Southampton,Sunderland,Southend,Stoke,Basildon,Telford,Middlesbrough,Warrington,Wakefield,Birkenhead,Wigan,Worthing,York,Belfast
01/01/2020 01:00:00,35.5608,35.4909,23.9291,39.7640,4.0872,0.2648,3.2296,37.1670,25.8086,10.0800,6.1814,8.1154,0.0000,21.7821,17.8371,29.3562,33.7632,28.6391,0.3019,29.8099,15.2080,0.0000,28.9158,41.4394,16.9389,13.5578,0.0005,24.2243,0.0583,20.4584,29.7602,0.0000,25.4533,4.7280,40.8449,21.2567,8.3735,2.3752,40.7286,0.0000,13.7580,45.7459,5.1811,31.9906,0.0651,15.2905,27.8418,0.0000,0.0000,2.1564,35.0038,0.0000,20.2202,0.0000,8.3921,41.2107,23.8145,23.3366,18.0789,26.7183,3.6000,33.5538,0.2761
01/01/2020 02:00:00,43.4025,30.6182,25.3307,37.8680,4.6677,1.9500,8.7613,37.4351,22.5897,6.7450,8.2763,9.1641,0.0000,21.5964,19.5714,25.7522,35.1737,32.8000,1.3635,25.3568,15.8038,0.0000,26.0453,33.5818,5.6500,14.4169,0.0680,22.8418,0.0000,14.9896,24.3185,0.0000,21.3560,1.1467,39.9294,19.0552,4.9324,2.2536,29.8884,0.0000,10.1748,43.7703,10.8078,27.0101,0.4494,11.6625,23.2136,0.0105,0.0000,0.3855,36.6774,0.0000,12.5725,0.0000,4.9366,38.0363,18.4783,21.5991,12.5411,21.8155,10.3882,30.2319,0.4403
01/01/2020 03:00:00,39.5544,24.7691,27.5819,32.5343,1.8918,5.8111,13.5949,36.4876,17.8138,0.7950,15.3932,5.8667,0.0000,18.4393,15.4657,19.3506,33.5558,34.3696,1.2558,19.7519,13.9840,0.0000,22.0129,22.3394,0.0000,12.0494,0.0768,20.3356,0.0000,9.9818,18.9149,0.0000,16.2960,0.0514,34.5272,14.7821,0.7588,7.5408,20.7940,0.0000,7.6076,41.7838,20.2611,21.6060,0.2494,12.5643,17.7723,0.0526,0.0000,0.4473,34.4868,0.0000,7.9899,0.0000,2.6743,33.9149,13.5623,17.4929,7.9722,16.7366,17.2529,24.6615,0.0000
01/01/2020 04:00:00,32.4722,17.9818,28.1732,28.5250,0.0000,13.8148,14.1953,30.8412,13.6629,0.0000,19.0763,0.0538,0.0000,16.9893,7.2600,13.1837,30.6800,34.9043,1.3519,14.2568,15.0087,0.0000,17.6439,14.2485,0.0000,5.7639,0.0203,17.9339,0.0000,5.7455,13.4669,0.0000,12.3147,0.0000,30.3441,10.1940,0.0000,12.8456,18.9075,0.0000,5.9479,40.1838,25.4289,15.7141,0.0940,15.1438,13.2892,0.0000,0.0000,2.1036,31.5189,1.2593,1.1661,0.0000,0.4525,29.1994,8.9783,13.3741,5.2022,11.1746,24.8294,19.0363,0.0000
01/01/2020 05:00:00,27.8241,12.8855,25.3551,22.7919,0.0000,18.5537,14.4897,23.1309,10.7397,0.0000,19.3424,0.0000,0.5500,17.4036,4.2514,8.2185,29.0663,32.4348,2.1250,9.6963,17.8517,0.0000,13.8453,3.7909,0.0000,0.6530,0.0185,15.3893,0.0000,2.0623,9.4328,0.0000,9.6120,0.0000,29.6081,7.6799,0.0000,17.6624,5.3286,0.0000,0.7672,34.3108,24.5289,10.9121,0.0000,14.0346,9.6887,0.0000,0.0000,2.7418,30.1302,2.4778,0.0037,0.0000,0.1762,23.0190,5.3986,9.9384,2.1411,6.8845,26.7471,12.8626,0.0000
01/01/2020 06:00:00,23.4392,7.6109,18.6858,17.7407,0.0000,21.9389,17.5079,16.3856,7.2009,0.0000,19.6153,0.0000,2.4850,16.0107,2.1971,3.2219,27.3053,30.2087,2.7731,3.8802,18.9951,1.8316,10.1799,0.0545,0.0000,0.0000,0.0474,11.4384,0.0000,0.0000,4.8967,0.0000,6.5693,0.0000,26.1316,5.4948,0.0000,20.7176,0.0000,0.0000,0.0000,30.5135,21.8289,5.3651,0.0277,13.2442,4.4207,0.0000,0.0000,3.3491,27.3057,1.2244,0.0000,0.0000,0.0010,19.6869,0.8681,5.9312,0.0144,1.7732,27.8529,8.4835,0.0000
01/01/2020 07:00:00,23.8190,2.3073,12.0740,13.1058,0.0000,19.6833,18.1292,11.4742,4.1983,0.0000,19.2814,0.0000,0.1950,16.5679,0.0314,0.6725,26.2526,29.7304,1.5058,0.1716,19.9643,2.5684,5.9899,0.0000,0.0000,0.0000,0.0161,6.2333,0.0000,0.0000,0.9581,0.0000,3.9813,0.0000,22.3574,1.3701,0.0000,20.4520,0.0000,0.0000,0.0000,28.0703,21.5367,1.1611,0.0036,16.1191,2.2972,0.0000,0.0000,7.6745,24.2132,0.6252,0.0000,0.0000,0.0000,18.7238,0.0000,2.2295,0.0000,0.0000,24.0235,5.8582,0.0000
01/01/2020 08:00:00,25.5089,0.0000,6.4394,11.8163,0.0000,17.2093,17.2059,5.7536,1.1086,0.0000,16.5525,0.0000,0.0400,17.4750,0.0000,0.0202,25.1105,25.5870,1.1462,0.0000,17.3757,7.9474,1.2691,0.0000,0.0000,0.0000,0.0034,1.5333,0.0000,0.0000,0.0030,0.0000,0.0000,0.0000,18.5684,0.0000,0.0000,18.8992,0.0000,0.0000,0.0000,22.5892,23.3956,0.0698,0.0000,14.3364,0.5254,0.0000,0.0120,13.1909,21.4472,0.2437,0.0000,0.0000,0.0000,17.8464,0.0000,0.0107,0.0000,0.0000,19.9647,2.3813,0.0000
01/01/2020 09:00:00,22.5608,0.0000,2.5378,11.6012,0.1183,15.4870,11.6569,1.7887,0.2569,0.0000,13.0847,0.0231,1.1050,15.5143,0.0000,0.0000,21.2168,23.7739,1.9635,0.0000,13.2684,6.4158,0.1309,0.0000,0.8556,0.0000,0.0212,0.1960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0355,12.6890,0.0000,0.0000,15.9584,0.0000,0.0000,0.0000,12.3595,22.1356,0.0000,0.1000,15.5018,0.1178,0.0000,0.1867,16.3509,15.7094,0.2822,0.0000,0.0000,1.2733,14.5905,0.0000,0.0000,0.0000,0.0000,16.9353,0.5967,0.0000
01/01/2020 10:00:00,13.9835,0.0000,3.2827,17.5948,2.9105,18.5500,8.0482,2.2979,1.1733,0.0300,11.9424,2.2590,8.8400,11.6036,0.0000,0.0011,20.1684,21.4652,9.9346,0.0000,13.1555,5.0053,0.6964,0.7364,3.3889,0.1253,0.7146,0.5169,0.9625,0.0000,0.0000,0.5436,0.0000,4.5159,12.6647,0.0000,4.1882,13.7120,0.1719,2.6261,0.0000,8.2514,22.0733,0.0000,4.0181,18.9307,0.6981,0.0000,3.1867,20.7709,13.6981,1.1948,1.2147,0.0605,6.8030,10.5827,0.0000,0.0696,0.4500,0.0000,21.5118,1.5385,0.0000
01/01/2020 11:00:00,8.7873,0.0000,4.3992,20.9512,7.7879,22.2130,11.3407,2.7464,2.7284,1.4650,12.4000,7.0641,15.0950,8.9500,0.0286,0.7382,21.5779,20.5609,18.2673,0.0000,12.6954,6.9000,3.2878,3.2515,5.8056,3.9313,2.5166,3.9994,8.6958,0.9273,0.0316,4.5074,0.0000,10.8879,17.0735,0.0000,8.6353,14.0232,0.7337,9.5783,0.0000,9.4784,22.5878,0.0007,14.4241,19.4265,0.9235,3.2632,13.5904,22.9873,14.7830,4.7141,2.0101,0.2860,9.7733,8.6155,0.0014,3.1759,4.6089,0.0000,26.6529,6.4088,0.0000
01/01/2020 12:00:00,18.0139,0.0000,4.7488,23.9105,12.4284,28.9074,16.8727,1.7866,2.9069,5.0650,16.3983,14.9872,18.4850,11.6929,4.3514,0.8056,22.7905,23.2043,23.0673,1.3296,9.0232,14.6158,3.4863,4.6636,6.0000,9.5855,4.5976,6.1932,18.2792,3.8584,0.0000,10.9394,0.4507,17.0477,18.8184,1.4351,14.7882,15.8936,1.2367,16.1261,0.1555,15.4027,28.9200,0.2020,23.3614,23.2565,0.8728,11.0895,24.2313,23.9418,15.6811,11.6689,4.8780,3.6628,19.4356,7.1857,0.8420,4.4768,8.7244,0.1592,32.5941,8.2560,0.0025
01/01/2020 13:00:00,20.9924,0.0127,4.4276,24.3233,12.0646,31.2630,17.4020,1.0392,2.5905,10.4400,16.5542,14.8308,21.7250,11.8179,3.6971,0.1466,22.9884,26.2609,26.2462,4.1123,4.0806,17.9579,2.3655,0.2545,6.4500,13.5361,7.5107,6.9751,21.6667,5.2870,0.0498,15.8011,0.9480,20.0187,17.4868,2.4918,18.9529,15.0104,1.7995,23.4652,1.6681,15.7541,31.5178,1.5617,26.1337,22.8862,0.6052,12.9421,26.9855,25.0200,15.2528,17.2022,10.4128,9.3442,23.0099,6.5476,2.6942,4.8786,10.0489,0.4915,33.8176,6.8209,7.3881
01/01/2020 14:00:00,25.0278,0.0018,1.4504,31.5140,11.5237,38.0278,20.2502,0.2876,1.6664,12.7250,19.9339,13.1513,26.9400,12.0714,8.9343,0.5831,20.4589,29.6087,31.8558,3.3753,3.5422,19.7842,0.4763,1.4273,8.3556,13.7578,11.2579,4.5198,20.3167,5.0338,0.4122,23.5840,4.4760,19.6766,14.1390,5.5172,15.3706,17.7312,1.7211,26.4565,6.0613,22.5622,34.5956,1.2148,29.0578,27.6131,3.1653,13.6421,28.0723,27.4327,13.0792,22.1022,20.7202,16.6442,25.7198,13.7375,4.0203,3.1589,9.9833,0.4254,40.3706,6.2187,25.9398
01/01/2020 15:00:00,19.1646,0.0000,0.0000,33.4093,6.8000,38.0704,20.6510,0.0000,0.1517,9.4400,21.0712,9.3667,27.3800,7.3679,12.0400,0.0219,18.1316,30.7304,30.1000,1.6975,3.9323,18.5947,0.0000,0.0000,9.0944,9.4542,8.3061,0.1237,12.5917,3.5377,0.8374,23.1511,7.6827,16.6336,5.3618,7.5933,12.5912,18.4136,0.8332,21.9348,9.6378,23.6946,33.8811,0.0678,25.6578,30.4562,3.3113,5.5842,24.5928,24.3000,5.6566,22.9044,23.7422,14.6349,23.2168,13.0804,4.3913,0.0000,10.3256,0.1056,40.3765,1.1187,32.2164
01/01/2020 16:00:00,15.9076,0.0000,0.0000,35.8680,2.6875,35.4759,20.7870,0.0000,4.0155,3.1900,18.9949,5.9667,19.0850,6.5964,8.0800,0.6309,18.3263,28.2261,20.1962,0.1358,8.9171,16.3684,1.7295,0.0000,6.5278,2.7566,4.9243,0.0000,0.6250,0.1506,2.2334,16.6266,11.8173,9.8738,0.0044,6.0478,7.4294,17.9168,0.0000,16.3043,9.3118,23.2919,29.9822,0.0000,17.4313,35.3650,12.3347,0.0789,23.3554,20.4782,0.0000,21.5874,22.3119,10.4349,20.7960,1.0274,1.0841,0.0000,7.1978,0.0000,37.4118,0.0000,33.4463
01/01/2020 17:00:00,13.4380,0.0000,0.0220,31.0895,1.1397,31.6093,16.7443,0.0000,13.9966,0.0000,12.9458,5.1333,14.0150,6.3857,0.4371,5.4618,17.0032,22.1087,14.4481,0.0395,10.9920,13.3895,9.3475,0.0000,6.6500,0.7277,2.7737,0.0000,0.0000,0.0013,3.5888,9.2670,9.2307,2.2925,0.0000,0.5948,2.9941,14.0920,0.0000,13.3478,5.3269,21.8000,23.7856,0.0000,12.1819,40.3890,22.4183,0.0000,22.6386,13.9673,0.0000,16.7407,18.5514,3.4233,16.6911,0.0000,0.1043,1.3438,6.4289,0.0000,32.7353,0.0000,31.2592
01/01/2020 18:00:00,9.2127,0.0000,1.4622,27.5942,1.5525,28.4074,18.2870,0.0000,21.8414,0.0000,11.2797,6.2026,12.4950,8.5179,0.0000,14.2669,20.1411,20.5522,16.2154,0.2444,16.9643,13.1684,15.4504,2.1182,10.3889,3.0349,3.3473,0.9266,0.0000,0.0948,3.5623,11.4872,3.4093,0.0364,0.0000,0.0000,1.5588,14.6392,0.9065,11.9913,5.3345,25.5243,19.1244,0.0000,11.9867,41.8318,26.6869,0.0000,26.0193,11.1964,0.0000,14.8793,15.7596,2.4884,13.8554,0.0000,0.0159,8.1580,8.3956,0.0000,28.0294,0.0000,31.7488
