quantity,mean_mass_concentration_of_pm10_ambient_aerosol_in_air
units,ug/m3
Aberdeen,Blackburn,Bradford,Bournemouth,Birmingham,Brighton,Bristol,Burnley,Barnsley,Cambridge,Cardiff,Coventry,Crawley,Dundee,Derby,Doncaster,Edinburgh,Exeter,Aldershot,Blackpool,Glasgow,Gloucester,Huddersfield,Hull,Ipswich,Leicester,London,Leeds,Luton,Liverpool,Manchester,Chatham,Mansfield,Milton Keynes,Newcastle,Nottingham,Northampton,Newport,Norwich,Oxford,Peterborough,Plymouth,Portsmouth,Preston,Reading,Swansea,Sheffield,Slough,Swindon,Southampton,Sunderland,Southend,Stoke,Basildon,Telford,Middlesbrough,Warrington,Wakefield,Birkenhead,Wigan,Worthing,York,Belfast
01/01/2020 01:00:00,22.4494,25.8782,16.3000,21.0465,33.2097,34.5759,41.7352,26.2938,16.1724,34.7700,41.4695,36.5154,28.3450,31.5000,30.7886,19.2433,20.9432,20.9391,33.5269,26.4111,37.7795,44.2737,17.0540,12.7212,41.3778,35.4398,38.7691,13.0113,38.8875,25.4610,22.4702,41.2543,25.2613,41.2589,17.2257,28.1373,41.0265,38.9808,22.8558,40.9391,33.4084,9.8459,30.5511,25.9403,36.6952,30.1534,17.6808,37.3316,45.6892,30.9691,13.7736,39.8904,24.9560,41.2442,30.3901,11.9190,24.1391,16.6473,25.1956,25.7028,34.9706,13.2725,35.1657
01/01/2020 02:00:00,23.3418,25.0291,18.7126,20.5151,38.4821,36.5019,33.2522,27.1144,20.6233,37.6050,38.3847,42.1359,28.3100,33.9214,32.6143,24.7601,19.6863,17.6130,30.4827,27.8580,31.7487,42.8158,18.5288,18.1242,42.6222,39.6843,36.5286,19.1695,38.7667,26.0143,21.5213,37.3202,27.5880,39.9897,19.6007,29.5500,41.6265,36.5656,23.1412,36.9609,33.9168,9.6865,30.0289,26.5094,33.3036,32.3883,21.6399,34.5211,41.7422,31.6527,17.7887,37.9896,25.4514,39.5023,30.4901,11.8869,24.4029,23.1420,26.1533,24.7296,35.8353,17.2505,28.9030
01/01/2020 03:00:00,25.2962,21.7964,21.9787,18.0017,41.4514,34.6889,25.3960,26.3351,21.8233,40.2000,31.1492,44.4769,30.8850,35.1036,37.2829,28.9612,16.8305,13.4696,30.0423,29.0383,28.3004,38.7789,18.4345,25.9909,34.2167,44.8241,33.8741,23.5062,39.0333,28.8883,21.4872,33.2181,30.0267,39.4654,19.5382,32.9910,40.7765,30.7704,28.1995,34.6739,37.8908,8.8838,28.2956,25.6805,31.9024,32.3908,24.2207,32.2895,35.6361,30.9000,18.9170,37.0978,31.2752,37.1488,35.1515,12.1131,26.8101,25.4536,29.0544,25.1296,31.4941,22.1549,29.8637
01/01/2020 04:00:00,28.1392,21.1836,22.8425,18.1837,41.4156,28.9278,22.0126,23.0505,24.0207,39.1050,24.4763,41.8872,28.8600,32.8071,43.2943,30.6702,15.4211,11.5261,28.6692,29.2679,26.8646,34.7474,19.5842,28.1939,35.6667,43.4386,32.0701,23.7751,36.4458,31.8649,22.4833,30.7585,34.0853,38.7907,18.5735,39.8209,39.4559,25.1800,38.2166,35.2565,42.1782,9.7243,24.3067,25.5114,30.2735,30.2647,27.6357,30.6842,33.0675,29.2655,18.0264,33.9237,38.4817,35.2163,39.0089,14.4048,29.1826,25.8438,31.4789,27.0338,24.6000,26.0582,32.0289
01/01/2020 05:00:00,26.8354,23.6909,21.7551,18.1640,40.2253,22.6241,21.8767,20.6144,28.0595,38.0350,22.4898,39.5769,23.6700,28.3786,45.9143,32.2736,15.0905,9.4870,25.2942,29.7049,23.2392,32.5895,21.8683,28.8455,39.1167,41.5386,28.7348,23.4808,28.5750,34.1481,27.0976,30.2202,40.5733,36.8523,16.5412,45.1575,38.4029,23.3928,42.1930,34.5913,43.0151,7.8541,20.6733,26.8550,27.0711,30.4346,32.3531,26.5211,31.8614,27.7800,16.1208,30.6889,39.8697,32.3605,39.2198,14.2917,32.9580,27.1607,33.7056,29.9859,18.2941,30.4736,29.4289
01/01/2020 06:00:00,22.6228,26.1727,21.7063,15.2297,31.8914,19.8519,20.2443,21.4845,33.8931,37.5800,19.5593,31.7923,21.6700,24.8357,45.5543,35.3191,14.7337,6.9130,23.8538,30.8864,19.7814,29.1579,26.4122,30.1515,39.6500,36.5072,26.4274,24.9819,22.0458,35.9805,32.6553,30.5468,45.2467,33.3738,14.4897,46.6112,36.2676,21.6416,38.1859,31.7174,42.9143,6.8946,18.5911,28.2940,25.3578,27.4459,37.4277,25.4105,28.2976,25.8182,16.6057,30.8059,38.4936,31.6302,35.3901,13.7423,37.1420,31.3473,34.9056,33.9183,16.4588,30.0736,27.5050
01/01/2020 07:00:00,17.8025,30.2927,23.0110,15.5267,25.9599,19.1981,20.5075,24.3495,37.3664,30.7200,19.0983,25.6359,22.0700,22.4821,44.1086,39.0652,14.4705,5.8652,25.6731,31.4321,16.0574,27.9737,30.8410,32.7758,38.5944,29.8807,27.1458,28.4825,23.1042,38.2532,36.1851,28.3915,46.5973,29.2645,15.7441,45.7963,30.9676,21.7648,35.6643,30.3435,43.0748,6.7865,18.2978,30.1993,26.7000,26.7562,38.4469,28.3105,26.5855,25.3291,18.7830,29.1319,37.7000,27.2535,32.4059,11.4625,38.7913,36.2777,35.7711,37.2028,16.6471,29.7857,26.3945
01/01/2020 08:00:00,12.3810,34.1345,26.8315,17.4541,23.2486,17.6722,21.8202,28.2557,35.6707,22.3150,17.7339,21.9051,20.6550,17.6536,37.8000,43.9775,12.4800,5.0957,27.3212,33.6481,13.5776,27.6368,32.6345,39.4273,38.3278,24.8928,30.8221,33.9831,22.4875,39.0753,37.0374,30.3649,46.1227,25.4944,18.5985,42.5187,24.5912,20.7304,37.1151,30.4478,37.6277,8.6838,18.0467,32.9584,29.6952,27.7152,34.7371,33.9947,27.1518,24.8091,21.7566,27.7393,36.2376,27.6814,27.8802,10.4994,38.6159,40.4179,35.5678,38.7746,16.2059,31.6945,27.2463
01/01/2020 09:00:00,10.5924,33.4691,30.5724,16.3105,23.3615,19.7019,23.1032,31.9361,30.9526,21.1000,17.6915,21.0231,22.3600,13.8179,27.3171,45.7489,11.4495,5.7435,30.3192,34.7222,13.8099,27.1053,31.0676,46.4818,37.9500,21.2747,35.6465,38.1136,23.9500,38.5286,37.6444,29.1926,42.1347,24.1346,21.8750,34.7493,23.8088,18.3592,40.1035,30.5217,29.8353,13.1324,17.4389,34.9289,33.2639,26.6594,32.2432,41.4947,25.6096,21.2745,23.5736,26.9704,30.3073,27.9209,24.3891,9.6833,40.7232,40.0268,35.1878,42.3239,19.1647,35.8275,25.8507
01/01/2020 10:00:00,11.9443,37.3836,34.0079,18.0302,22.1128,19.7611,25.4874,33.1258,29.8741,21.6550,19.0627,22.8564,21.0950,12.1107,21.2114,44.8247,11.7905,9.6478,25.3519,36.7062,15.1726,27.1684,29.4777,46.2333,30.6667,20.2157,37.4676,39.2571,25.3833,35.4519,38.2772,27.9181,34.1867,24.4505,23.6912,26.6642,22.7382,19.5744,41.6040,28.3957,27.1261,17.9432,17.9189,37.7718,30.5337,24.2046,33.4296,40.6789,21.5651,18.3727,24.0792,26.1370,23.2495,26.9814,20.9000,10.5298,39.2913,37.5670,33.1433,42.6817,19.1118,36.4462,25.1572
01/01/2020 11:00:00,14.4329,42.0055,34.2220,21.0686,22.4152,18.7630,25.7332,35.1196,31.0552,25.1400,19.8508,24.3487,19.8250,12.6286,21.6457,43.2107,11.6611,13.4913,21.8981,36.8148,18.0342,27.2474,29.7086,48.7455,26.3167,21.5361,38.9287,37.2847,26.2500,33.1286,37.5608,29.9798,25.3173,25.6607,22.7228,23.3925,24.0559,20.2016,42.0508,26.7348,25.7244,20.7946,21.9678,38.7852,25.4373,18.7551,31.8648,34.1421,19.4398,20.4818,22.5264,28.7941,20.4239,32.0349,19.6139,15.8470,34.3899,35.4438,30.5289,37.9577,18.1353,37.5022,25.1408
01/01/2020 12:00:00,12.7810,39.9345,34.9150,19.8424,24.0875,16.0278,23.6083,37.9093,28.4707,27.4400,18.7712,22.8872,18.1350,12.4107,22.2857,36.8803,11.8232,13.4304,19.5981,33.9543,19.4118,24.3316,28.6856,47.1697,27.4556,23.3867,37.0145,35.8661,25.0667,33.1351,33.7535,28.5840,21.9493,25.5794,21.6228,22.6373,24.3735,20.2664,38.5206,24.5087,26.6176,18.7459,20.8433,35.3557,19.9205,13.5887,25.2798,27.9632,18.1096,21.5691,20.4604,28.7607,20.5706,32.9628,18.9822,20.8625,30.1435,35.3098,28.7544,33.6197,15.3882,41.6637,23.4637
01/01/2020 13:00:00,11.4278,34.7364,37.6457,18.8831,25.8794,14.9333,23.3186,37.0608,23.9681,25.9150,19.9170,23.2000,15.9400,12.4500,23.6886,27.4747,11.8653,13.6174,18.3404,33.3457,20.1650,23.3421,27.7259,41.9091,27.0444,23.7048,31.9668,36.1881,25.1542,33.5805,28.6717,24.4957,22.5640,25.0411,20.7779,23.4955,23.4853,20.8728,30.9980,22.5565,26.7580,20.1919,17.0233,33.2376,18.5361,17.6102,21.7310,25.3368,18.4289,21.0127,19.6226,25.5407,21.5147,28.6814,20.7040,24.9530,29.2217,30.8018,28.1622,32.5676,13.7294,42.2978,18.8791
01/01/2020 14:00:00,10.6937,31.4255,34.1362,14.9564,25.0576,15.0574,22.3300,30.1691,22.0466,25.0200,20.0153,22.8462,15.4400,12.5214,23.4371,22.8944,12.3274,14.8696,17.1692,35.2778,21.0137,21.6895,25.5871,30.5303,27.1444,22.8289,28.7333,35.2237,25.2208,32.9961,26.6027,19.6309,22.5840,24.6393,20.9037,24.1836,23.6853,20.6720,25.7487,19.3130,26.1202,21.4622,14.9322,34.7403,16.9976,17.3021,20.9531,24.5316,15.5578,19.4855,20.0245,22.8304,20.9459,24.4512,20.1347,27.8411,30.3159,26.6446,27.2200,34.4704,13.7176,36.8516,13.1239
01/01/2020 15:00:00,11.1747,33.0182,26.9417,11.6837,25.3292,14.8519,21.4138,26.5299,22.1095,26.0350,18.3610,22.5846,13.8850,14.3071,22.6971,23.0787,14.3063,13.6000,14.4904,37.5864,20.3308,21.9316,23.7288,26.5212,27.1722,22.6988,28.5757,31.3627,25.6250,32.2688,27.6161,19.0947,22.3227,24.3234,22.4419,23.9336,23.6206,19.2480,23.9518,16.7652,25.2118,21.6946,14.4944,37.7980,14.5711,15.6583,20.8122,25.1211,14.7169,18.7673,21.4660,21.1963,20.8312,23.6093,19.4475,29.2815,30.3377,25.6295,26.9767,35.5268,13.1059,30.7143,11.4716
01/01/2020 16:00:00,12.5405,35.3127,25.4488,10.9581,26.9019,16.9130,20.8684,27.5887,21.0595,28.9900,19.2559,22.8231,16.2500,17.2893,24.1886,23.1236,16.9621,14.6870,18.9462,38.5321,20.0129,22.2000,22.7777,25.7000,27.9722,23.2831,33.4082,28.0186,32.7042,32.6649,28.1389,23.1372,21.1013,27.6701,24.1059,24.1090,24.8353,19.5272,26.0186,18.2043,25.4403,24.6919,17.5022,38.6490,18.0554,13.4336,18.6596,31.7421,15.4096,19.8273,22.8811,22.2000,21.0037,27.0721,19.0158,27.1577,29.9101,25.4482,26.9300,35.7141,15.4647,28.6505,10.3234
