,with_corona,without_corona,reduction
2020-01-01,31287.22832653575,31416.212611194103,128.9842846583524
2020-01-02,31543.99159288817,31653.402689353654,109.41109646548284
2020-01-03,31928.368439280246,31877.58265269706,-50.785786583186564
2020-01-04,32161.377545554573,32408.360480037863,246.9829344832906
2020-01-05,33013.18463136292,32664.055622066124,-349.12900929679745
2020-01-06,33492.051085610205,32541.054332548545,-950.9967530616595
2020-01-07,33714.132856049866,32473.42948080147,-1240.7033752483949
2020-01-08,33612.027377995655,32479.520698751607,-1132.5066792440484
2020-01-09,33632.20478127106,32629.039270536578,-1003.1655107344814
2020-01-10,33588.45023921033,32977.48908699471,-610.9611522156192
2020-01-11,33759.66577005385,33464.79655733908,-294.86921271476604
2020-01-12,33501.36202432825,33866.096253467374,364.7342291391251
2020-01-13,33328.28670011271,34147.42183473322,819.135134620512
2020-01-14,33397.54095088505,34213.86910849263,816.3281576075824
2020-01-15,33811.860161648554,34147.05956112973,335.19939948117826
2020-01-16,34188.76338380326,34016.84206472124,-171.92131908202282
2020-01-17,34678.588601287585,33822.36780180961,-856.2207994779747
2020-01-18,35154.56801118771,33425.52572866777,-1729.0422825199348
2020-01-19,35843.63080289247,33155.651718640474,-2687.979084251994
2020-01-20,36501.705600811896,33019.18027147379,-3482.525329338103
2020-01-21,36896.155658342504,32985.70053269205,-3910.4551256504565
2020-01-22,36867.72171823318,33075.31842985669,-3792.4032883764885
2020-01-23,36622.626813082315,33252.3120131782,-3370.3147999041175
2020-01-24,36357.5667766703,33361.53740172516,-2996.0293749451375
2020-01-25,35936.75542348937,33707.56513538706,-2229.190288102305
2020-01-26,35367.02690086731,34176.08770161721,-1190.9391992501041
2020-01-27,34680.94836768287,34690.977720819996,10.029353137128055
2020-01-28,33902.68006395271,35237.55342120829,1334.8733572555866
2020-01-29,33357.315798148826,35848.70790893686,2491.392110788038
2020-01-30,33098.88672812479,36409.140916250435,3310.2541881256475
2020-01-31,32730.3280866967,36956.03526021525,4225.707173518549
2020-02-01,32674.943100907167,37364.655256343234,4689.712155436067
2020-02-02,32971.58336049897,37712.473156104556,4740.889795605588
2020-02-03,33264.62010555328,37990.1920064638,4725.571900910523
2020-02-04,33491.641640428374,38231.33450740432,4739.692866975944
2020-02-05,33421.88126130112,38338.602627321445,4916.721366020327
2020-02-06,33416.30400377862,38397.44047171776,4981.136467939141
2020-02-07,33510.514878754664,38471.82366965769,4961.308790903029
2020-02-08,33376.7855091435,38372.890717629394,4996.105208485897
2020-02-09,33144.78779756254,37985.59012159796,4840.802324035423
2020-02-10,33103.94368274588,37391.930210652376,4287.986527906498
2020-02-11,33233.69272332447,36779.0487941707,3545.356070846232
2020-02-12,33444.113068153456,36066.64318110954,2622.530112956083
2020-02-13,33347.9633286479,35398.92591150916,2050.9625828612625
2020-02-14,33168.70769103112,34756.26543713699,1587.557746105871
2020-02-15,33095.38886657451,34369.60582767153,1274.2169610970159
2020-02-16,33055.7810986466,34106.33390342483,1050.5528047782282
2020-02-17,32685.65239665269,33879.221964905955,1193.5695682532642
2020-02-18,32378.67984780225,33715.15268866667,1336.4728408644187
2020-02-19,32176.523455188297,33538.80703258341,1362.2835773951156
2020-02-20,32244.175053962186,33274.33399957795,1030.1589456157672
2020-02-21,32461.682419981767,33010.48238928511,548.7999693033453
2020-02-22,32619.169492884226,32618.60200147173,-0.5674914124974748
2020-02-23,32679.99897242932,32279.55358541281,-400.4453870165089
2020-02-24,33033.14435152729,32096.77991747728,-936.3644340500105
2020-02-25,33446.87837071798,31867.87809896083,-1579.0002717571515
2020-02-26,33533.07334483694,31721.869514861723,-1811.2038299752203
2020-02-27,33467.38804687606,31636.773252074716,-1830.6147948013459
2020-02-28,33477.75059707042,31743.053836940988,-1734.6967601294346
2020-02-29,33602.6999651834,31873.876339815622,-1728.823625367775
2020-03-01,33911.96985976956,32031.444099234453,-1880.525760535107
2020-03-02,34269.7219283101,32123.707340016997,-2146.014588293103
2020-03-03,34074.67876719805,32207.403507726598,-1867.2752594714511
2020-03-04,34115.844400748014,32324.62904959752,-1791.2153511504948
2020-03-05,33952.776661408374,32314.504169099142,-1638.272492309232
2020-03-06,33767.41655853441,32149.057997920674,-1618.3585606137349
2020-03-07,33252.93452518448,31975.318425315687,-1277.616099868792
2020-03-08,32324.36547791567,31812.415776512473,-511.94970140319856
2020-03-09,31261.757793329638,31627.03231959052,365.2745262608805
2020-03-10,31162.87758882165,31435.126098782574,272.2485099609221
2020-03-11,31115.24943036323,31344.549253827066,229.29982346383622
2020-03-12,31223.803665987238,31378.982473674834,155.17880768759642
2020-03-13,31081.33300894393,31350.784711138465,269.45170219453576
2020-03-14,31035.465197487112,31410.544049068318,375.0788515812055
2020-03-15,31370.011355693296,31295.825999209144,-74.18535648415127
2020-03-16,31846.535024374643,31200.481488530473,-646.0535358441703
2020-03-17,31581.384714884953,31078.719249625632,-502.6654652593206
2020-03-18,31266.770244768522,30913.99489799965,-352.7753467688708
2020-03-19,31010.566564976605,30692.10150645272,-318.4650585238851
2020-03-20,30693.94360525897,30474.559416724514,-219.38418853445546
2020-03-21,30019.92262793198,30007.98589992389,-11.93672800809145
2020-03-22,29284.353011952448,29741.665700756574,457.3126888041261
2020-03-23,28466.30106050672,29531.707636853072,1065.4065763463514
2020-03-24,27744.920248309332,29262.68363940074,1517.7633910914083
2020-03-25,27440.0169050208,29035.23553565768,1595.2186306368822
2020-03-26,27199.39953817162,28876.30916832751,1676.9096301558893
2020-03-27,27071.541186291444,28748.143371340047,1676.6021850486031
2020-03-28,27462.182140953497,28917.823133481717,1455.6409925282205
2020-03-29,27627.830579816324,29052.765208117933,1424.9346283016093
2020-03-30,27326.53742078548,29226.965572879057,1900.4281520935765
2020-03-31,27412.551447795373,29512.912323748034,2100.3608759526614
2020-04-01,27250.793046434825,29423.706160759783,2172.913114324958
2020-04-02,26911.443012407693,29337.995280278436,2426.552267870742
2020-04-03,26314.971610361,29267.8911623195,2952.919551958501
2020-04-04,25660.569163152595,28992.526704064283,3331.957540911688
2020-04-05,25082.112571809266,28686.39627380768,3604.2837019984145
2020-04-06,24789.836839288655,28386.50773819521,3596.6708989065555
2020-04-07,24152.14683003221,28222.052527267217,4069.905697235008
2020-04-08,23851.96281227877,28428.965124614526,4577.002312335757
2020-04-09,23694.112386707428,28633.721043570116,4939.608656862689
2020-04-10,23379.188844337332,28780.215827772652,5401.02698343532
2020-04-11,23337.00591677418,29083.85055222566,5746.844635451482
2020-04-12,23169.1341771027,29448.081129676506,6278.946952573806
2020-04-13,23070.395186659942,29621.1497787333,6550.754592073357
2020-04-14,23216.63436618541,29796.056361891864,6579.421995706452
2020-04-15,23582.518269995806,29858.336064378727,6275.817794382921
2020-04-16,23599.86118935867,29871.316904175656,6271.455714816984
2020-04-17,23741.68312232698,29935.908940286194,6194.225817959214
2020-04-18,23551.9289983875,29938.26905218788,6386.340053800381
2020-04-19,23399.76050162294,29924.147958119007,6524.387456496068
2020-04-20,23423.363898156356,30110.618755278716,6687.25485712236
2020-04-21,23392.06583859107,30020.83471675449,6628.768878163421
