id, timestamp, demand, frequency, coal, nuclear, ccgt, wind, pumped, hydro, biomass, oil, solar, ocgt, french_ict, dutch_ict, irish_ict, ew_ict, nemo, other, north_south, scotland_england
937043, 2020-05-01 00:00:35, 20944, 49.896999, 0, 5789, 5149, 5461, 0, 181, 1473, 0, 0.449, 0, 1368, 691, 0, -58, 687, 145, -153, -346
937044, 2020-05-01 00:05:34, 20884, 49.910999, 0, 5784, 5154, 5406, 0, 181, 1467, 0, 0, 0, 1368, 691, -30, -112, 688, 145, -98, -227
937045, 2020-05-01 00:10:34, 21072, 49.988998, 0, 5781, 5260, 5373, 98, 181, 1444, 0, 0, 0, 1368, 691, -30, -112, 688, 188, -70, -238
937046, 2020-05-01 00:15:34, 21233, 49.959, 0, 5785, 5348, 5396, 142, 181, 1443, 0, 0, 0, 1368, 691, -30, -112, 688, 191, -57, -246
937047, 2020-05-01 00:20:35, 21236, 49.991001, 0, 5788, 5412, 5441, 51, 181, 1442, 0, 0, 0, 1368, 691, -30, -112, 688, 174, -128, -410
937048, 2020-05-01 00:25:35, 21238, 50.028, 0, 5791, 5427, 5505, 0, 180, 1444, 0, 0, 0, 1368, 690, -30, -112, 688, 145, -146, -410
937049, 2020-05-01 00:30:34, 21271, 50.060001, 0, 5788, 5406, 5560, 0, 180, 1445, 0, 0, 0, 1368, 691, -30, -112, 688, 145, -78, -390
937050, 2020-05-01 00:35:35, 21256, 49.938, 0, 5787, 5353, 5599, 0, 180, 1445, 0, 0, 0, 1368, 691, -162, -2, 688, 145, -60, -360
937051, 2020-05-01 00:40:35, 21370, 49.922001, 0, 5793, 5439, 5619, 0, 181, 1445, 0, 0, 0, 1368, 691, -162, -2, 688, 146, -23, -294
937052, 2020-05-01 00:45:34, 21346, 49.903, 0, 5788, 5437, 5602, 0, 181, 1445, 0, 0, 0, 1368, 691, -162, -2, 688, 146, 21, -243
937053, 2020-05-01 00:50:35, 21355, 49.917, 0, 5782, 5431, 5622, 0, 180, 1448, 0, 0, 0, 1368, 691, -162, -2, 687, 146, 19, -228
937054, 2020-05-01 00:55:34, 21372, 49.971001, 0, 5780, 5355, 5716, 0, 181, 1447, 0, 0, 0, 1368, 691, -162, -2, 688, 146, 70, -177
937055, 2020-05-01 01:00:35, 21318, 49.986, 0, 5784, 5295, 5720, 0, 180, 1446, 0, 0.000726, 0, 1368, 691, -162, -2, 688, 146, 116, -132
937056, 2020-05-01 01:05:36, 21261, 49.951, 0, 5787, 5248, 5708, 0, 180, 1445, 0, 0, 0, 1368, 691, -106, 0, 688, 146, 113, -167
937057, 2020-05-01 01:10:34, 21261, 49.917, 0, 5789, 5288, 5682, 0, 165, 1445, 0, 0, 0, 1368, 690, -106, 0, 688, 146, 54, -201
937058, 2020-05-01 01:15:35, 21228, 49.896, 0, 5785, 5264, 5678, 0, 165, 1445, 0, 0, 0, 1368, 689, -106, 0, 688, 146, 26, -215
937059, 2020-05-01 01:20:35, 21121, 49.888, 0, 5786, 5183, 5650, 0, 165, 1445, 0, 0, 0, 1368, 690, -106, 0, 688, 146, -7, -247
